exposure	outcome	id	nsnps	h0	h1	h2	h3	h4
10015_119_KCNAB2_KCAB2_myeloma	ieu-b-4957	10015_119_KCNAB2_KCAB2_myeloma_ieu-b-4957	5019	8.10156259822298e-09	0.95935157098691	3.90458606159467e-11	0.00462327960426909	0.0360251412682109
10037_98_SIGLEC12_SIG12_myeloma	ieu-b-4957	10037_98_SIGLEC12_SIG12_myeloma_ieu-b-4957	6450	0	0.960169475634478	0	0.00405985319996064	0.0357706711648329
10042_8_SGK3_SGK3_myeloma	ieu-b-4957	10042_8_SGK3_SGK3_myeloma_ieu-b-4957	3224	0.000747462849307764	0.739999374167971	2.06686122108386e-06	0.00204365137533412	0.257207444746166
10070_22_PLCG2_PLCG2_myeloma	ieu-b-4957	10070_22_PLCG2_PLCG2_myeloma_ieu-b-4957	7983	3.74112428153757e-35	0.928685291662	2.06305374051083e-37	0.00512059979880328	0.066194108539191
10075_75_ACBD6_ACBD6_myeloma	ieu-b-4957	10075_75_ACBD6_ACBD6_myeloma_ieu-b-4957	5280	0.0289797987962921	0.90492682082575	0.00010462409013801	0.00326637769698289	0.0627223785908364
10080_9_EIF2B1_EI2BA_myeloma	ieu-b-4957	10080_9_EIF2B1_EI2BA_myeloma_ieu-b-4957	4130	0.000488206873607558	0.927885111088469	1.39175561527375e-06	0.00264447842587964	0.0689808118564284
10088_37_APRT_APT_myeloma	ieu-b-4957	10088_37_APRT_APT_myeloma_ieu-b-4957	6343	2.6064579463451e-26	0.934833476035194	1.1724311503217e-28	0.00420443765106419	0.0609620863137428
10336_3_STUB1_CHIP_myeloma	ieu-b-4957	10336_3_STUB1_CHIP_myeloma_ieu-b-4957	4554	0.994452108510758	0.00208081669259178	0.00323955926467641	6.77632818236385e-06	0.000220739203791382
10346_5_STAT3_STAT3_myeloma	ieu-b-4957	10346_5_STAT3_STAT3_myeloma_ieu-b-4957	2929	5.81076496563402e-70	0.953383173484834	9.89593646303739e-73	0.00162319503393145	0.0449936314812324
10366_11_PDGFRA_PDGFRA_myeloma	ieu-b-4957	10366_11_PDGFRA_PDGFRA_myeloma_ieu-b-4957	4751	9.31647860115533e-19	0.947831648286712	3.49901431553874e-21	0.00355931010303472	0.0486090416102505
10370_21_STAT1_STAT1_myeloma	ieu-b-4957	10370_21_STAT1_STAT1_myeloma_ieu-b-4957	3564	0.995350459904442	0.00188868603449816	0.00265031816127661	5.0279463624911e-06	0.000105507953420488
10372_18_STAT6_STAT6_myeloma	ieu-b-4957	10372_18_STAT6_STAT6_myeloma_ieu-b-4957	2769	2.86942650415281e-21	0.940100346545529	6.05821734266706e-24	0.00198425377866305	0.0579153996758101
10396_6_MCL1_Mcl_1_myeloma	ieu-b-4957	10396_6_MCL1_Mcl_1_myeloma_ieu-b-4957	2972	7.34084606443672e-33	0.911620966691687	1.47386354675819e-35	0.00182944793051887	0.0865495853777983
10424_31_NPDC1_NPDC1_myeloma	ieu-b-4957	10424_31_NPDC1_NPDC1_myeloma_ieu-b-4957	4246	0.00079652092928385	0.950221530928286	4.82005784144059e-06	0.00574972766890474	0.0432274004156843
10440_26_CLMP_ACAM_myeloma	ieu-b-4957	10440_26_CLMP_ACAM_myeloma_ieu-b-4957	5244	7.43369842684124e-134	0.461573552939763	3.99835480559288e-136	0.00247730085815279	0.535949146202112
10442_1_TMEM190_TM190_myeloma	ieu-b-4957	10442_1_TMEM190_TM190_myeloma_ieu-b-4957	7000	0	0.959676348113172	0	0.0112476706874179	0.0290759811983734
10445_20_APOM_ApoM_myeloma	ieu-b-4957	10445_20_APOM_ApoM_myeloma_ieu-b-4957	18756	8.01409344065802e-109	0.76013025897764	1.75835610163842e-109	0.16677791832143	0.0730918227009261
10451_11_NUCB1_NUCB1_myeloma	ieu-b-4957	10451_11_NUCB1_NUCB1_myeloma_ieu-b-4957	4729	8.04767911640753e-49	0.938092960344815	3.45847139924397e-51	0.0040308539360123	0.0578761857191797
10462_14_INSL5_INSL5_myeloma	ieu-b-4957	10462_14_INSL5_INSL5_myeloma_ieu-b-4957	4836	8.38432577143568e-05	0.966762257278512	3.17048147398427e-07	0.00365545732371216	0.029498125091914
10490_3_RPN1_RPN1_myeloma	ieu-b-4957	10490_3_RPN1_RPN1_myeloma_ieu-b-4957	3867	8.32304648716697e-71	0.94054836678706	2.27963418364114e-73	0.00257553869153812	0.0568760945213887
