id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
0FyaPj	myeloma_meta-analysis	8274_64_STX7_Syntaxin_7	myeloma_meta-analysis	0.00660177897746214	0.000160986860453907	TRUE	NA
0Jxlqy	myeloma_meta-analysis	15604_18_MAPK9_JNK2	myeloma_meta-analysis	0.0110306527850714	1.26467021230369e-05	TRUE	NA
0tvhtn	myeloma_meta-analysis	4971_1_CTSZ_CATZ	myeloma_meta-analysis	0.148603690609934	3.58711452927445e-05	TRUE	NA
0X0IAW	myeloma_meta-analysis	2900_53_CCL14_HCC_1	myeloma_meta-analysis	0.148699869014129	0.000372151411544048	TRUE	NA
18PGPa	myeloma_meta-analysis	11493_169_DYNLL2_DYL2	myeloma_meta-analysis	0.0013714780931025	0.000119212731575683	TRUE	NA
19XxH9	myeloma_meta-analysis	8464_31_RSPO4_RSPO4	myeloma_meta-analysis	0.00417843546513958	3.23805597614649e-06	TRUE	NA
1lazSJ	myeloma_meta-analysis	7822_11_HRASLS2_HRSL2	myeloma_meta-analysis	0.00129332352384411	0.000392166064115578	TRUE	NA
1Mk3Mw	myeloma_meta-analysis	2742_68_SIGLEC7_Siglec_7	myeloma_meta-analysis	0.0411730971379037	8.32614443987201e-06	TRUE	NA
1my0Wq	myeloma_meta-analysis	18916_25_ITPA_Inosine_triphosphatase	myeloma_meta-analysis	0.360128478677932	7.49444181989788e-05	TRUE	NA
1SYUUX	myeloma_meta-analysis	14101_2_CNTFR_CNTFR_alpha	myeloma_meta-analysis	0.0182454885081974	8.83489131048173e-05	TRUE	NA
1uFSo0	myeloma_meta-analysis	8327_26_DPEP2_DPEP2	myeloma_meta-analysis	0.0112397193996104	2.05575177713474e-05	TRUE	NA
1uVb5w	myeloma_meta-analysis	9394_19_CPQ_Aminopeptidase	myeloma_meta-analysis	0.151886589076308	0.00018555512858508	TRUE	NA
1YQRVA	myeloma_meta-analysis	8235_48_CHGB_SCG1	myeloma_meta-analysis	0.00224038043492319	0.000635729743252929	TRUE	NA
27tqB5	myeloma_meta-analysis	16773_29_SCUBE3_SCUB3	myeloma_meta-analysis	0.017852508716659	3.75912121114879e-05	TRUE	NA
28NwGl	myeloma_meta-analysis	3290_50_CD109_CD109	myeloma_meta-analysis	0.214443749379443	2.53436340393491e-06	TRUE	NA
29lDgO	myeloma_meta-analysis	19446_1_GMPR2_GMPR2	myeloma_meta-analysis	0.0269847400820693	7.094724356751e-05	TRUE	NA
2B39gD	myeloma_meta-analysis	3004_67_PDCD1LG2_PD_L2	myeloma_meta-analysis	0.0676082362542104	0.00017566850629734	TRUE	NA
2PT9VX	myeloma_meta-analysis	12637_7_CRAT_CACP	myeloma_meta-analysis	0.00359564875799496	6.83548251540465e-05	TRUE	NA
2rIC3Z	myeloma_meta-analysis	17794_6_PMM2_Phosphomannomutase_2	myeloma_meta-analysis	0.0110369456795644	0.000110804489266441	TRUE	NA
2si4LL	myeloma_meta-analysis	3580_25_SERPINA1_a1_Antitrypsin	myeloma_meta-analysis	0.0994339316818319	0.000200572967858922	TRUE	NA
3EhaJw	myeloma_meta-analysis	15322_35_CRADD_CRADD	myeloma_meta-analysis	0.00137539119870985	0.000282290182113775	TRUE	NA
3N77Ok	myeloma_meta-analysis	3719_2_CDKN1B_p27Kip1	myeloma_meta-analysis	0.00268932079626524	0.000348415474578882	TRUE	NA
3Q2QA2	myeloma_meta-analysis	10832_24_B4GALT6_B4GT6	myeloma_meta-analysis	0.124068009154359	6.89254789720711e-05	TRUE	NA
3Vct2i	myeloma_meta-analysis	17419_17_TES_TES	myeloma_meta-analysis	0.0020737446433858	3.06782815293594e-05	TRUE	NA
3xLNJW	myeloma_meta-analysis	2644_11_PRKCA_PKC_A	myeloma_meta-analysis	0.00297933143650692	0.00054329789116493	TRUE	NA
3xU7Kv	myeloma_meta-analysis	8916_32_STIM1_STIM1	myeloma_meta-analysis	0.0040945458439365	0.000464626131297234	TRUE	NA
4bvaOy	myeloma_meta-analysis	12687_2_DECR1_DECR	myeloma_meta-analysis	0.00563740518192495	0.000153985448592248	TRUE	NA
4c0Xgo	myeloma_meta-analysis	4314_12_DCTPP1_XTP3A	myeloma_meta-analysis	0.00125016673027867	0.000623943871413789	TRUE	NA
4eF4l0	myeloma_meta-analysis	15466_30_COL9A1_CO9A1	myeloma_meta-analysis	0.0104640996883974	0.000156553588402312	TRUE	NA
4elExT	myeloma_meta-analysis	15511_37_NPTXR_NPTXR	myeloma_meta-analysis	0.0911445278259184	0.000252688486359031	TRUE	NA
4gvXzp	myeloma_meta-analysis	8345_27_GPX7_GPX7	myeloma_meta-analysis	0.158305866742608	3.84302207211667e-05	TRUE	NA
4iETcK	myeloma_meta-analysis	7950_142_BTNL9_BTNL9	myeloma_meta-analysis	0.00119556025314826	0.000324804217216181	TRUE	NA
5cAp1V	myeloma_meta-analysis	18871_24_AIF1L_AIF1L	myeloma_meta-analysis	0.161793096526113	2.42193018404975e-05	TRUE	NA
5d9fGY	myeloma_meta-analysis	9841_197_PAICS_Multifunctional_protein_ADE2	myeloma_meta-analysis	0.00259591546651083	5.90365326421264e-05	TRUE	NA
5G7qDP	myeloma_meta-analysis	17676_13_TRIP10_CIP4	myeloma_meta-analysis	0.00127432025935266	0.000136816400196408	TRUE	NA
5HefBT	myeloma_meta-analysis	6629_3_DEFB1_HBD_1	myeloma_meta-analysis	0.00666180268896559	3.83932341825521e-05	TRUE	NA
5pxjET	myeloma_meta-analysis	12457_10_ADI1_MTND	myeloma_meta-analysis	0.00302694877247684	6.49577182205602e-05	TRUE	NA
5xi1c7	myeloma_meta-analysis	4498_62_NCAM1_NCAM_120	myeloma_meta-analysis	0.0218027597093489	1.0838150718566e-05	TRUE	NA
6AFPMM	myeloma_meta-analysis	13642_90_IFIT3_CIG49	myeloma_meta-analysis	0.00332667890616583	0.000362124074120371	TRUE	NA
6fLYsg	myeloma_meta-analysis	3235_50_WFIKKN2_WFKN2	myeloma_meta-analysis	0.160042863331523	4.82198978999969e-06	TRUE	NA
6KBpPL	myeloma_meta-analysis	5621_64_THSD1_THSD1	myeloma_meta-analysis	0.163563719922464	0.000294861667335881	TRUE	NA
6n13AX	myeloma_meta-analysis	6649_51_NTN1_NET1	myeloma_meta-analysis	0.0763739059652478	0.000272473517717265	TRUE	NA
6odEOI	myeloma_meta-analysis	2590_69_ROR1_ROR1	myeloma_meta-analysis	0.0246183380201301	0.000170324848601441	TRUE	NA
6SiGCP	myeloma_meta-analysis	9574_11_BIN1_BIN1	myeloma_meta-analysis	0.00791405208066197	2.89632962480996e-05	TRUE	NA
70LLUS	myeloma_meta-analysis	9329_28_TREML1_TRML1	myeloma_meta-analysis	0.00866711256515075	0.000628168069932	TRUE	NA
70sTnH	myeloma_meta-analysis	3835_11_TLR2_TLR2	myeloma_meta-analysis	0.00134071016050847	3.70940837455782e-05	TRUE	NA
722K8s	myeloma_meta-analysis	19293_6_VPS26A_VP26A	myeloma_meta-analysis	0.0123094327160118	8.20290023957449e-05	TRUE	NA
7DSHLJ	myeloma_meta-analysis	8890_9_TMEM132B_T132B	myeloma_meta-analysis	0.0103261843207986	7.69964433845698e-05	TRUE	NA
7FfmIP	myeloma_meta-analysis	3488_64_CAT_Catalase	myeloma_meta-analysis	0.0156786458871917	3.8937254543723e-05	TRUE	NA
